Sam	Sam Base/E
The team made it up to the semi-finals after counting the goal differences. Sam asks how you feel. How should we answer?	
Sam suggests that we have a team dinner to lighten things up. What will be your reaction?	
Sam is saying that his teammates are what keeps him going.	
Sam has shown outstanding performance on both the offensive and defensive side. He is asking for your evaluation on his plays. Let's give him an answer.	
As Sam said, the universe is facing a new course of destiny because of the Galaxy League. Let's talk to him.	
The crowd is cheering for Sam. Sam seems to find this situation new and a bit uncomfortable. Let's help him out.	
Sam is impressed by the help he received from the elementals. Let's talk to him.	
Sam was watching penguins play soccer and suddenly decided to raise a pet penguin himself. Let's talk to him.	
The team will not have a match for some time. Sam asks you about your plan.	
It's a very intense match and Sam falls on the ground, but a player on the other team helps Sam up and the two exchange smiles.	
The next opponent is the Lab Rat Entry. You hear that all of the players on the other team are victims of experiments and this makes you feel uncomfortable.	
You're walking in a narrow ally and come across Sam having an intense staring contest with the captain of the opposing team. What should we say?	
Sam is surrounded by fans and seems to be overwhelmed. Let's talk to him.	
Sam scored a hat trick and led the team to a complete victory! Congratulate him!	
A player on the other side is on the field with his arms tied up. Let's talk about this with Sam.	
Sam falls to the ground after clashing with the opponent. What should we say to him?	
Sam lost to the opponent and fell to the ground. What should we do?	
You come across Sammy while walking the street with Sam. Let's talk to her.	
Lynia is cleaning the streets with the members of Jeneva Crew. Sam is curious and wants to take a look.	
Sam brought a drink that she says received from the coach on the other team. It looks very suspicious especially with the dark fumes coming out of it.	
You find Sam depressed for not playing well during the match. Let's cheer him up.	
Sam is questioning your promise to make the best team ever. It's time to redeem yourself.	
You come across Sam being lost and wandering around while going back to the lodging. Let's talk to him.	
Sam is asking about your thoughts on meeting an extraterrestrial being. Let's give him an answer.	
Sam is having trouble with continuing nightmares. Let's talk to him.	
Sam is stressed out saying his opponent has the upper ground on every aspect. What should we do?	
Sam seems to be satisfied with the perfect team work. Let's talk to him.	
You come across Sam who is limping. He says it's nothing. What should we do?	
You visit Merlin's house and see Hildegard eating ramen.	
You're watching the storm with Sam and you spot Princess Meiran taking a walk while humming.	
Sam looks nervous because the team will be moving to the planet where the next match will be held by taking a space shuttle without the help of Littre.	
Sam's opponent is smiling whenever they confront each other on the field. Sam seems to be nervous. Let's talk to him.	
Baltheon, who was upset when he was asked about his past, suddenly started to feel better when he saw Sam.	
The members of Siena Celtron are furiously searching the stadium for Kuma.	
The game ended as a tie, but it seems that the competition between Sam and his opponent isn't over yet.	
The team will be cleaning up the lodging. What will you have Sam do?	
The opponent team is spreading rumors that they lost because your team played dirty. What should we do?	
A player on the other team says soccer became enjoyable after confronting Sam. What should you say?	
Sam is angry about the opponent's resilient attack on you. What should we say?	
Latios is chatting with Sam after the match. Let's barge in.	
The team made it up to the semi-finals after counting the goal differences. Sam asks how you feel. How should we answer?	
Sam suggests that we have a team dinner to lighten things up. What will be your reaction?	
Sam is saying that his teammates are what keeps him going.	
Sam has shown outstanding performance on both the offensive and defensive side. He is asking for your evaluation on his plays. Let's give him an answer.	
As Sam said, the universe is facing a new course of destiny because of the Galaxy League. Let's talk to him.	
The crowd is cheering for Sam. Sam seems to find this situation new and a bit uncomfortable. Let's help him out.	
Sam is impressed by the help he received from the elementals. Let's talk to him.	
Sam was watching penguins play soccer and suddenly decided to raise a pet penguin himself. Let's talk to him.	
The team will not have a match for some time. Sam asks you about your plan.	
It's a very intense match and Sam falls on the ground, but a player on the other team helps Sam up and the two exchange smiles.	
The next opponent is the Lab Rat Entry. You hear that all of the players on the other team are victims of experiments and this makes you feel uncomfortable.	
You're walking in a narrow ally and come across Sam having an intense staring contest with the captain of the opposing team. What should we say?	
Sam is surrounded by fans and seems to be overwhelmed. Let's talk to him.	
Sam scored a hat trick and led the team to a complete victory! Congratulate him!	
A player on the other side is on the field with his arms tied up. Let's talk about this with Sam.	
Sam falls to the ground after clashing with the opponent. What should we say to him?	
Sam lost to the opponent and fell to the ground. What should we do?	
You come across Sammy while walking the street with Sam. Let's talk to her.	
Lynia is cleaning the streets with the members of Jeneva Crew. Sam is curious and wants to take a look.	
Sam brought a drink that she says received from the coach on the other team. It looks very suspicious especially with the dark fumes coming out of it.	
You find Sam depressed for not playing well during the match. Let's cheer him up.	
Sam is questioning your promise to make the best team ever. It's time to redeem yourself.	
You come across Sam being lost and wandering around while going back to the lodging. Let's talk to him.	
Sam is asking about your thoughts on meeting an extraterrestrial being. Let's give him an answer.	
Sam is having trouble with continuing nightmares. Let's talk to him.	
Sam is stressed out saying his opponent has the upper ground on every aspect. What should we do?	
Sam seems to be satisfied with the perfect team work. Let's talk to him.	
You come across Sam who is limping. He says it's nothing. What should we do?	
You visit Merlin's house and see Hildegard eating ramen.	
You're watching the storm with Sam and you spot Princess Meiran taking a walk while humming.	
Sam looks nervous because the team will be moving to the planet where the next match will be held by taking a space shuttle without the help of Littre.	
Sam's opponent is smiling whenever they confront each other on the field. Sam seems to be nervous. Let's talk to him.	
Baltheon, who was upset when he was asked about his past, suddenly started to feel better when he saw Sam.	
The members of Siena Celtron are furiously searching the stadium for Kuma.	
The game ended as a tie, but it seems that the competition between Sam and his opponent isn't over yet.	
The team will be cleaning up the lodging. What will you have Sam do?	
The opponent team is spreading rumors that they lost because your team played dirty. What should we do?	
A player on the other team says soccer became enjoyable after confronting Sam. What should you say?	
Sam is angry about the opponent's resilient attack on you. What should we say?	
Latios is chatting with Sam after the match. Let's barge in.	
	
Sam	Sam EE
Sam is wondering why the team is doing so well recently. Pick an answer.	
After a meeting, Sam's eyes met yours a several times and Sam asks if he has something on his face.	
With a serious look on his face, Sam warns you to go to the bathroom before the match.	
Preparing for the press conference, you're talking with Sam on which player you think has the brightest future. What will you say?	
Sam is worried that he has to face demons, black holes and other dangerous things. What should we tell him?	
Sam is making a scene about the women's uniform and underwear disappearing. Let's talk to him.	
Sam is asking if you have a special person who you would like to share happy moments with. Let's give him an answer.	
You find Sam being very excited after performing an awesome play. How will you react?	
Sam is having trouble focusing on the match. Let's help him out.	
Sam is questioning Kuma's status as a Gate Keeper.	
Sam doesn't like the new team advertisement video.	
It's Sam's birthday. Let's give him a present.	
You see Sam's opponent trash talking and smirking towards Sam. What should we do?	
The team is going to go shop. Which group will you join?	
You hear that the opponent team's ace, who is also Sam's rival, has been severely injured and is in the hospital. What should you say to him?	
Sam comes to you and says that he has to leave the team because of personal reasons. What should we say?	
Sam is getting slow on the field and this is causing trouble. Let's talk with Sam.	
Sam is telling a story about how an old kingdom in Valhalla was doomed because of the king.	
You got a couple of tickets to Veronica's live concert. Sam seems to be interested.	
Sam says he wants to cry because the goal keeper on the other team just won't go down no matter how many shots he makes.	
The team made it up to the semi-finals after counting the goal differences. Sam asks how you feel. How should we answer?	
Sam suggests that we have a team dinner to lighten things up. What will be your reaction?	
Sam is saying that his teammates are what keeps him going.	
Sam has shown outstanding performance on both the offensive and defensive side. He is asking for your evaluation on his plays. Let's give him an answer.	
As Sam said, the universe is facing a new course of destiny because of the Galaxy League. Let's talk to him.	
The crowd is cheering for Sam. Sam seems to find this situation new and a bit uncomfortable. Let's help him out.	
Sam is impressed by the help he received from the elementals. Let's talk to him.	
Sam was watching penguins play soccer and suddenly decided to raise a pet penguin himself. Let's talk to him.	
The team will not have a match for some time. Sam asks you about your plan.	
It's a very intense match and Sam falls on the ground, but a player on the other team helps Sam up and the two exchange smiles.	
The next opponent is the Lab Rat Entry. You hear that all of the players on the other team are victims of experiments and this makes you feel uncomfortable.	
You're walking in a narrow ally and come across Sam having an intense staring contest with the captain of the opposing team. What should we say?	
Sam is surrounded by fans and seems to be overwhelmed. Let's talk to him.	
Sam scored a hat trick and led the team to a complete victory! Congratulate him!	
A player on the other side is on the field with his arms tied up. Let's talk about this with Sam.	
Sam falls to the ground after clashing with the opponent. What should we say to him?	
Sam lost to the opponent and fell to the ground. What should we do?	
You come across Sammy while walking the street with Sam. Let's talk to her.	
Lynia is cleaning the streets with the members of Jeneva Crew. Sam is curious and wants to take a look.	
Sam brought a drink that she says received from the coach on the other team. It looks very suspicious especially with the dark fumes coming out of it.	
Sam is wondering why the team is doing so well recently. Pick an answer.	
After a meeting, Sam's eyes met yours a several times and Sam asks if he has something on his face.	
With a serious look on his face, Sam warns you to go to the bathroom before the match.	
Preparing for the press conference, you're talking with Sam on which player you think has the brightest future. What will you say?	
Sam is worried that he has to face demons, black holes and other dangerous things. What should we tell him?	
Sam is making a scene about the women's uniform and underwear disappearing. Let's talk to him.	
Sam is asking if you have a special person who you would like to share happy moments with. Let's give him an answer.	
You find Sam being very excited after performing an awesome play. How will you react?	
Sam is having trouble focusing on the match. Let's help him out.	
Sam is questioning Kuma's status as a Gate Keeper.	
Sam doesn't like the new team advertisement video.	
It's Sam's birthday. Let's give him a present.	
You see Sam's opponent trash talking and smirking towards Sam. What should we do?	
The team is going to go shop. Which group will you join?	
You hear that the opponent team's ace, who is also Sam's rival, has been severely injured and is in the hospital. What should you say to him?	
Sam comes to you and says that he has to leave the team because of personal reasons. What should we say?	
Sam is getting slow on the field and this is causing trouble. Let's talk with Sam.	
Sam is telling a story about how an old kingdom in Valhalla was doomed because of the king.	
You got a couple of tickets to Veronica's live concert. Sam seems to be interested.	
Sam says he wants to cry because the goal keeper on the other team just won't go down no matter how many shots he makes.	
The team made it up to the semi-finals after counting the goal differences. Sam asks how you feel. How should we answer?	
Sam suggests that we have a team dinner to lighten things up. What will be your reaction?	
Sam is saying that his teammates are what keeps him going.	
Sam has shown outstanding performance on both the offensive and defensive side. He is asking for your evaluation on his plays. Let's give him an answer.	
As Sam said, the universe is facing a new course of destiny because of the Galaxy League. Let's talk to him.	
The crowd is cheering for Sam. Sam seems to find this situation new and a bit uncomfortable. Let's help him out.	
Sam is impressed by the help he received from the elementals. Let's talk to him.	
Sam was watching penguins play soccer and suddenly decided to raise a pet penguin himself. Let's talk to him.	
The team will not have a match for some time. Sam asks you about your plan.	
It's a very intense match and Sam falls on the ground, but a player on the other team helps Sam up and the two exchange smiles.	
The next opponent is the Lab Rat Entry. You hear that all of the players on the other team are victims of experiments and this makes you feel uncomfortable.	
You're walking in a narrow ally and come across Sam having an intense staring contest with the captain of the opposing team. What should we say?	
Sam is surrounded by fans and seems to be overwhelmed. Let's talk to him.	
Sam scored a hat trick and led the team to a complete victory! Congratulate him!	
A player on the other side is on the field with his arms tied up. Let's talk about this with Sam.	
Sam falls to the ground after clashing with the opponent. What should we say to him?	
Sam lost to the opponent and fell to the ground. What should we do?	
You come across Sammy while walking the street with Sam. Let's talk to her.	
Lynia is cleaning the streets with the members of Jeneva Crew. Sam is curious and wants to take a look.	
Sam brought a drink that she says received from the coach on the other team. It looks very suspicious especially with the dark fumes coming out of it.	
	
Helen	
Helen is worried about the team's poor performance. Let's go talk to her.	
Helen is curious about the Galaxy League. What answer will help her?	
Helen wants to hear about your plans on training the new players. What should we answer?	
Helen is being sentimental about how soccer, which was supposed to be a one time thing, became her life. Let's talk with her.	
Helen is asking what to buy in the souvenir shop. Let's give her an opinion.	
Helen is asking who you think of first when you win a match. Let's answer.	
This match will be held on Earth. We still have some time. What do you want to do?	
